Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
Sparrows Coffee,Ethiopia Dimtu Tero,Ethiopia,Guji,Getachew Zeleke,Ethiopian Heirloom,Washed,,"Melon, meyer lemon, floral",,,,
Sparrows Coffee,Burundi Kayanza,Burundi,Kayanza,,"Bourbon, Jackson, Mibrizi",Washed,1760,"Dried fruit, citrus, silky",May,,,
Huckleberry Roasters,Rwanda Ejo Heza,Rwanda,Nyamesheke,"Ejo Heza, Kopakama Cooperative",Bourbon,Washed,1800 - 2000,"Cranberry, spicecake, pink grapefruit",,,,
Maquina Coffee Roasters,Primavera,Brazil,Minas Gerais,Ricardo Tavares,Yellow Catuai,Natural,1000 - 1200,"Dark chocolate, black cherry, molasses",December,,,
Onyx Coffee,Colombia Aponte Village,Colombia,,Pergamino Coffee,"Caturra, Bourbon",Pulped Natural/Honey,2100,"Cherry, floral honey, chocolate malt, papaya",,,,
Red Bay Coffee,Coltrane,Colombia,Cauca,"Mary Bolaños, Sergio Mosquera, Rodelfi Betancourt, Juan Medina, Dilio Pechene, and Linares Paz","Castillo, Colombia, Tabi",Washed,1650 - 1720,"Black grape, dark chocolate, cane sugar",April - July,,,
Red Bay Coffee,East Fourteenth,Tanzania,Mbeya,Sweet Unity Farms Cooperative,Bourbon,Washed,1220 - 1524,"Blackberry, dark chocolate, date",April - July,,,
Onyx Coffee,Rwanda Kanzu #5,Rwanda,,,Bourbon,Washed,1800 - 2100,"Honeycomb, plum, maple syrup, apricot",,,,
City of Saints Coffee Roasters,Papua New Guinea Baroida Estate,Papua New Guinea,Eastern Highlands,Nichol Colbrand,"Typica, Bourbon",Washed,1700 - 1850,"Genmaicha, stone fruit, baking spice",September,,,
Passenger Coffee,Bookkisa Dry Process,Ethiopia,"Shakiso, Guji",Ture Waji,Ethiopian Landraces,Dry,2173,"Blueberry, milk chocolate, citrus",,,,
Huckleberry Roasters,Colombia Las Brisas,Colombia,Tolima,ASOQUEBRADON and ASCAFUR Associations,"Caturra, Colombia, Castillo",Washed,1500 - 2000,"Caramel, green grape, candied citrus",,,,
